"Label (Grouping)","Suffolk County, New York!!Total!!Estimate","Suffolk County, New York!!Total!!Margin of Error","Suffolk County, New York!!Below poverty level!!Estimate","Suffolk County, New York!!Below poverty level!!Margin of Error","Suffolk County, New York!!Percent below poverty level!!Estimate","Suffolk County, New York!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","1,498,692","±1,293","95,543","±3,570","6.4%","±0.2"
"    AGE","","","","","",""
"        Under 18 years","310,328","±1,337","22,501","±1,720","7.3%","±0.6"
"            Under 5 years","78,016","±701","6,289","±1,011","8.1%","±1.3"
"            5 to 17 years","232,312","±911","16,212","±1,386","7.0%","±0.6"
"            Related children of householder under 18 years","308,679","±1,388","21,011","±1,720","6.8%","±0.6"
"        18 to 64 years","927,673","±258","54,425","±2,231","5.9%","±0.2"
"            18 to 34 years","310,528","±269","19,746","±1,166","6.4%","±0.4"
"            35 to 64 years","617,145","±235","34,679","±1,645","5.6%","±0.3"
"        60 years and over","370,000","±2,428","25,416","±1,386","6.9%","±0.4"
"        65 years and over","260,691","±167","18,617","±1,135","7.1%","±0.4"
"    SEX","","","","","",""
"        Male","743,724","±832","41,245","±2,017","5.5%","±0.3"
"        Female","754,968","±870","54,298","±2,376","7.2%","±0.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","1,037,868","±3,923","55,070","±2,768","5.3%","±0.3"
"        Black or African American alone","110,123","±3,074","10,705","±1,408","9.7%","±1.3"
"        American Indian and Alaska Native alone","5,909","±981","538","±258","9.1%","±4.2"
"        Asian alone","60,850","±1,185","4,710","±858","7.7%","±1.4"
"        Native Hawaiian and Other Pacific Islander alone","261","±130","18","±22","6.9%","±10.2"
"        Some other race alone","131,832","±4,582","12,426","±1,819","9.4%","±1.3"
"        Two or more races","151,849","±4,972","12,076","±2,015","8.0%","±1.3"
"        Hispanic or Latino origin (of any race)","331,634","±1,207","29,863","±2,457","9.0%","±0.7"
"        White alone, not Hispanic or Latino","952,077","±1,702","47,059","±2,483","4.9%","±0.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","1,061,811","±209","63,921","±2,455","6.0%","±0.2"
"            Less than high school graduate","100,280","±2,986","14,131","±999","14.1%","±0.9"
"            High school graduate (includes equivalency)","261,604","±3,733","23,473","±1,495","9.0%","±0.6"
"            Some college, associate's degree","274,785","±4,298","13,085","±864","4.8%","±0.3"
"            Bachelor's degree or higher","425,142","±4,577","13,232","±928","3.1%","±0.2"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","817,814","±4,042","24,650","±1,557","3.0%","±0.2"
"            Employed","780,547","±4,352","19,100","±1,382","2.4%","±0.2"
"                Male","412,133","±3,063","8,712","±976","2.1%","±0.2"
"                Female","368,414","±2,646","10,388","±976","2.8%","±0.3"
"            Unemployed","37,267","±1,618","5,550","±708","14.9%","±1.8"
"                Male","20,887","±1,192","2,913","±552","13.9%","±2.3"
"                Female","16,380","±1,241","2,637","±462","16.1%","±2.7"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","1,229,535","±1,100","76,274","±2,791","6.2%","±0.2"
"            Worked full-time, year-round in the past 12 months","562,833","±4,768","5,440","±643","1.0%","±0.1"
"            Worked part-time or part-year in the past 12 months","280,042","±4,389","18,836","±1,395","6.7%","±0.5"
"            Did not work","386,660","±4,092","51,998","±2,326","13.4%","±0.6"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","50,756","±2,570","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","126,446","±4,767","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","157,164","±5,372","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","204,693","±5,895","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","227,715","±6,246","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","388,150","±7,301","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","566,813","±8,534","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","745,368","±8,341","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","231,213","±4,381","44,603","±1,863","19.3%","±0.7"
"    Male","109,453","±3,153","18,789","±1,167","17.2%","±1.0"
"    Female","121,760","±2,529","25,814","±1,301","21.2%","±0.9"
"    15 years","369","±134","369","±134","100.0%","±10.3"
"    16 to 17 years","1,172","±304","1,032","±281","88.1%","±9.7"
"    18 to 24 years","9,760","±1,004","4,561","±661","46.7%","±5.1"
"    25 to 34 years","38,909","±1,680","5,768","±555","14.8%","±1.4"
"    35 to 44 years","29,417","±1,419","5,879","±582","20.0%","±1.8"
"    45 to 54 years","30,043","±1,448","5,345","±613","17.8%","±2.0"
"    55 to 64 years","45,291","±2,082","8,609","±779","19.0%","±1.6"
"    65 to 74 years","38,041","±1,539","5,704","±652","15.0%","±1.6"
"    75 years and over","38,211","±1,311","7,336","±743","19.2%","±1.8"
"    Mean income deficit for unrelated individuals (dollars)","9,219","±192","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","100,455","±3,046","2,110","±329","2.1%","±0.3"
"    Worked less than full-time, year-round in the past 12 months","41,989","±1,908","9,616","±748","22.9%","±1.6"
"    Did not work","88,769","±2,179","32,877","±1,650","37.0%","±1.5"
"    Population in housing units for whom poverty status is determined","1,489,827","±1,287","90,512","±3,532","6.1%","±0.2"
