stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3486:1,,Nicolls Rd/Buchanan Ave,,40.760712,-73.35397,,,0,
2826:1,,Montauk Hwy/Bernice Dr,,40.746847,-73.055111,,,0,
3015:1,,Montauk Hwy/Woodlawn Ave,,40.809988,-72.757811,,,0,
3287:1,,Carleton Ave/N Research Pl,,40.774243,-73.19892,,,0,
46891,,Patchogue-Holbrook Rd/Broadway Ave,,40.803731,-73.068569,,,0,
2568:1,,Union Blvd/Penataquit Ave,,40.72847800000001,-73.238317,,,0,
2277:1,,Middle Country Rd/Marshall Dr,,40.86211200000001,-73.059794,,,0,
1553:1,,Oser Ave/Adams Ave,,40.816625,-73.256626,,,0,
46811,,Belle Terre Rd/Princess Tree Ct,,40.943247,-73.05726199999998,,,0,
3554:1,,Grand Blvd/Carlls Path,,40.758849,-73.320864,,,0,
2976:1,,NYS 112/Southaven Ave,,40.800959,-73.00511299999998,,,0,
3963:1,,College Rd/Portion Rd,,40.836476,-73.053863,,,0,
1008:1,,NYS 110/E Lyons St,,40.806328,-73.410144,,,0,
1235:1,,E Industry Ct/Grand Blvd,,40.761162,-73.29705,,,0,
3163:1,,Montauk Hwy/Great Neck Rd,,40.669003,-73.393413,,,0,
2416:1,,Circle Rd/Campus Dr,,40.91303700000001,-73.129037,,,0,
3962:1,,Portion Rd/Morris Ave,,40.835,-73.062129,,,0,
46981,,Beach Ln/W Yaphank Rd,,40.86878,-72.976783,,,0,
2039:1,,Seymour Ln/W Yaphank Rd,,40.858047,-72.978025,,,0,
1521:1,,Jericho Tpk/Rural Pl,,40.841767,-73.304839,,,0,
44161,,Vets Hwy/Lincoln Blvd,,40.81874,-73.199627,,,0,
3599:1,,Bay Shore Rd/Bay Shore Ave,,40.738762,-73.29254,,,0,
2661:1,,NYS 347/Gibbs Pond Rd,,40.852743,-73.15145099999998,,,0,
1780:1,,Kings Park HS Fields,,40.884341,-73.244714,,,0,
48491,,Brookhaven Landfill,,40.800641,-72.922563,,,0,
45811,,Grand Blvd/Marcus Blvd,,40.759924,-73.31604,,,0,
2364:1,,Montauk Hwy/Atlantic Ave,,40.804747,-72.761156,,,0,
2345:1,,E Suffolk Ave/Gibbs Rd,,40.794028,-73.186521,,,0,
3754:1,,Montauk Hwy/Marilynn St,,40.734065,-73.176969,,,0,
44741,,Ocean Ave/Express Dr N,,40.813492,-73.12537,,,0,
1736:1,,Vets Hwy/New Hwy,,40.8256,-73.236176,,,0,
2378:1,,Sills Rd/Horseblock Rd,,40.810808,-72.952966,,,0,
44241,,Belmont Ave/Kenyon Ave,,40.71027200000001,-73.348792,,,0,
2745:1,,New York Ave/Edison Dr,,40.816714,-73.407931,,,0,
3023:1,,William Floyd Pkwy/Tudor Rd,,40.793292,-72.86464599999998,,,0,
4282:1,,E Main St/Prospect Pl,,40.924293,-72.651262,,,0,
45371,,2nd St/Station Rd,,40.760711,-72.939718,,,0,
2174:1,,W Main St/Winters Ln,,40.917147,-72.68104599999998,,,0,
47611,,Amityville LIRR,,40.680307,-73.42063,,,0,
2818:1,,Montauk Hwy/N Windsor Ave,,40.713108,-73.258619,,,0,
1904:1,,Middle Country Rd/Homestead Dr,,40.87337500000001,-72.98236,,,0,
1271:1,,Deer Park Ave/S Service Rd,,40.79569200000001,-73.342222,,,0,
4217:1,,Montauk Hwy/Smith Rd,,40.80053,-72.879136,,,0,
1197:1,,E Industry Ct/Saxwood St,,40.764618,-73.297149,,,0,
3587:1,,Bay Shore Rd/Deer Park Ave,,40.75004,-73.323988,,,0,
1453:1,,Montauk Hwy/Saxon Ave,,40.728062,-73.228776,,,0,
1129:1,,Middle Country Rd/Raynor Rd,,40.891155,-72.90292599999998,,,0,
45021,,Motor Pkwy/S Bedford Ave,,40.813807,-73.166606,,,0,
2775:1,,E Jericho Tpk/Dix Hills Rd,,40.835057,-73.369224,,,0,
2089:1,,NYS 112/Hawkins Path,,40.880676,-73.010581,,,0,
44131,,Vets Hwy/Lincoln Blvd,,40.81935,-73.200277,,,0,
2358:1,,Montauk Hwy/Old Neck Rd,,40.802747,-72.808642,,,0,
46451,,NYS 109/Arnold Ave,,40.710055,-73.361103,,,0,
1366:1,,Oser Ave (390),,40.816803,-73.264814,,,0,
1913:1,,Middle Country Rd/College Rd,,40.863814,-73.047244,,,0,
46201,,Larkfield Rd/Allerton Ave,,40.86878,-73.322368,,,0,
