from_stop_id,to_stop_id,transfer_type,min_transfer_time
47801,4247:1,1,
47801,43171,1,
47841,47831,1,
47661,47641,1,
47841,47851,1,
47661,47651,1,
47671,47641,1,
4247:1,43171,1,
47671,47651,1,
47701,47741,1,
47701,47751,1,
47711,47741,1,
47711,47751,1,
47661,43151,1,
47671,43151,1,
47601,3389:1,1,
47601,47591,1,
47601,47611,1,
47621,47661,1,
43151,47681,1,
47621,47671,1,
43151,47691,1,
47631,47661,1,
47661,47681,1,
47631,47671,1,
47841,47861,1,
47661,47691,1,
47671,47681,1,
47671,47691,1,
47781,3845:1,1,
47701,3803:1,1,
47771,3845:1,1,
47711,3803:1,1,
47801,47791,1,
3845:1,47781,1,
3845:1,47771,1,
47681,47621,1,
47681,47631,1,
47691,47621,1,
47691,47631,1,
3389:1,47601,1,
4247:1,47791,1,
47841,47871,1,
47701,47721,1,
47701,47731,1,
47711,47721,1,
47711,47731,1,
47801,47811,1,
47681,47641,1,
47641,47621,1,
47681,47651,1,
47641,47631,1,
47691,47641,1,
47651,47621,1,
47691,47651,1,
47651,47631,1,
47611,47601,1,
3101:1,47781,1,
3101:1,47771,1,
4247:1,47811,1,
47821,47831,1,
47821,47841,1,
47821,47851,1,
3803:1,47741,1,
3803:1,47751,1,
47861,47831,1,
47831,47841,1,
47861,47841,1,
47831,47851,1,
47861,47851,1,
47681,43151,1,
47691,43151,1,
47761,47781,1,
47861,4072:1,1,
47761,47771,1,
3845:1,47761,1,
47821,47861,1,
47861,47821,1,
47681,47661,1,
47681,47671,1,
47831,47861,1,
47691,47661,1,
47691,47671,1,
3803:1,47701,1,
47781,3101:1,1,
3803:1,47711,1,
47771,3101:1,1,
43171,47801,1,
47741,47701,1,
3845:1,3101:1,1,
47741,47711,1,
47751,47701,1,
47751,47711,1,
47821,47871,1,
4072:1,47821,1,
47721,47741,1,
47641,47661,1,
47641,47671,1,
47721,47751,1,
47731,47741,1,
47651,47661,1,
47831,47871,1,
47651,47671,1,
47861,47871,1,
47731,47751,1,
43151,47621,1,
43171,4247:1,1,
43151,47631,1,
47781,47761,1,
47771,47761,1,
47621,43151,1,
47631,43151,1,
47621,47681,1,
47621,47691,1,
47631,47681,1,
47631,47691,1,
47591,47601,1,
47721,3803:1,1,
47731,3803:1,1,
3389:1,47591,1,
3389:1,47611,1,
43151,47641,1,
43151,47651,1,
3803:1,47721,1,
3803:1,47731,1,
47811,47801,1,
47741,47721,1,
47741,47731,1,
47751,47721,1,
47751,47731,1,
47831,4072:1,1,
47831,47821,1,
47591,3389:1,1,
47811,4247:1,1,
47591,47611,1,
43171,47791,1,
47811,43171,1,
47791,47801,1,
47641,43151,1,
47651,43151,1,
47791,4247:1,1,
43151,47661,1,
43171,47811,1,
43151,47671,1,
47791,43171,1,
47641,47681,1,
47641,47691,1,
47651,47681,1,
47651,47691,1,
47821,4072:1,1,
47851,47831,1,
47841,4072:1,1,
47851,47841,1,
47841,47821,1,
47611,3389:1,1,
47811,47791,1,
47611,47591,1,
47871,4072:1,1,
3101:1,47761,1,
47871,47821,1,
47721,47701,1,
47731,47701,1,
47731,47711,1,
47761,3101:1,1,
4072:1,47831,1,
4072:1,47841,1,
4072:1,47851,1,
47851,47861,1,
3101:1,3845:1,1,
47871,47831,1,
47871,47841,1,
47871,47851,1,
47851,4072:1,1,
4072:1,47861,1,
47851,47821,1,
47851,47871,1,
47791,47811,1,
47761,3845:1,1,
47621,47641,1,
47871,47861,1,
47741,3803:1,1,
47621,47651,1,
47751,3803:1,1,
47631,47641,1,
47661,47621,1,
47631,47651,1,
47661,47631,1,
47671,47621,1,
47671,47631,1,
4247:1,47801,1,
4072:1,47871,1,
